Country,State,City,Name,Category - Final,Description,Website
United States, California,Santa Monica,GumGum,Computer Vision,"GumGum is an artificial intelligence company, with deep expertise in computer vision. It unlocks the value of images and videos.",http://www.gumgum.com
United States, California,Cupertino,GupShup,Communication,Gupshup enables users to communicate and share their short messages privately and publicly.,http://www.gupshup.io
United States,California,Los Angeles,Gurucul,Defense/Security,"Gurucul is transforming enterprise security with user behavior based machine learning and predictive analytics. Using identity to monitor for threats, Gurucul provides Actionable Risk Intelligence to protect against targeted and under-the-radar attacks. Gurucul is able to proactively detect, prevent, and deter advanced insider threats, fraud and external threats to system accounts and devices using self-learning, behavioral anomaly detection algorithms.",http://www.gurucul.com
Mexico, Distrito Federal,Mexico City,Gus Chat,Communication,Somos una empresa mexicana enfocada en el desarrollo y licenciamiento de chatbots inteligentes en espaÃ±ol,https://gus.chat
France,,Paris,Gwapit,Communication,,http://gwapit.com/
United Kingdom,,London,Gyana,Sales/Marketing,,http://www.gyana.space/
United States, California,San Francisco,Gyant,Healthcare,GYANT is a 24/7 health assistant that's always there to answer your questions.,http://gyant.com/english/
Israel, Tel Aviv,Tel Aviv,Gymex,Entertainment,Artificial Intelligence Soccer Predictor,http://www.gymex.com
United States,North Carolina,Charlotte,Gyomo,Defense/Security,Gyomo creates a hostile environment for social engineering and phishing using crowd sourcing and machine learning.,http://www.gyomo.com
United States,California,Mountain View,H2O.ai,Business Intelligence,,https://www.h2o.ai/
United States, California,Mountain View,H2O.ai,Software Development,H2O.ai provides an open source machine learning platform that makes it easy to build smart applications.,http://www.h2o.ai
United Kingdom,England,London,Habito,Fintech,"Hey Habito, dba Habito, is a digital mortgages startup that aims to help users apply for mortgages and avoid overpaying through its platform, which makes use of chatbot interfaces and machine learning designed to make the process more efficient. The platform offers access to more than 10,000 mortgage products from a range of more than 60 lenders.",http://www.habito.com
United States, California,San Jose,"Habla AI, Inc.",Data Analytics,Habla AI is the Platform for Information Saliency and Situational Awareness.,https://habla.ai/
United Kingdom,,London,Hadean,Automation,,http://www.hadean.com/
China,,Ningbo,HaiVision,Computer Vision,,http://www.haivision.com.cn
United States,New York,New York,Hakia,Internet of Things,hakia provides an ontological semantic and natural language processing (NLP) based search engine.,http://www.hakia.com
India, Haryana,Gurgaon,HAL Robotics,Internet of Things,At HAL we design intelligent hardware along with array of sensors which are powered using decision science and machine learning on IoT.,https://www.halrobotics.net/
Hungary,,Budapest,HandInScan,Healthcare,,http://www.handinscan.com/
United States, California,Santa Barbara,Hands Company,Robotics,The potential of robotics in daily life,http://www.handscompany.it/
China,,Haidian District,Hanvon,Entertainment,,http://www.hw99.com/
Sweden,,Stockholm,Happyr,Human Resources,"Personal job matching, automated.",https://happyr.com
Netherlands,,Amsterdam,Harver,Human Resources,"Harver offers an AI-powered pre-selection platform, TalentPitch, which integrates with a company's existing HR processes and systems, and uses predictive analytics to make the recruitment process faster.",http://www.harver.com
United States,Massachusetts,North Billerica,Harvest Automation,Robotics,,https://www.public.harvestai.com/
United States, New York,New York,Hayo,Internet of Things,Hayo transforms objects and spaces into a set of magical remote controls.,https://hayo.io/
United States,Virginia,McLean,Haystax Technology,Defense/Security,"Haystax Technology is a security analytics platform provider. Its platform delivers advanced security analytics and risk-management solutions that enable rapid understanding and response to virtually any type of cyber or physical threat. Based on a patented model-driven approach that applies multiple artificial intelligence techniques, it reasons like a team of expert analysts to detect complex threats and prioritize risks in real time at scale. Top federal government agencies and large commercial enterprises, as well as state and local public-safety organizations rely on Haystax for more effective protection of their critical systems, facilities and people.",http://www.haystax.com
Finland,,Pori,Headai,Core AI,Extensive research work in cognitive science and AI combined with executive level business intelligence has established the corner stone of Headai business. The company´s main focus is on building groundbreaking software robots for different kinds of intellectual tasks. The target market is in corporate learning and also in automating various types of repetitive business processes.,http://www.headai.com/
Japan,,Tokyo,Headwaters,Robotics,,http://www.headwaters.co.jp/
Singapore,,Singapore,Healint,Healthcare,Healint is a behavior analytics platform that helps patients and their families make healthcare decisions.,http://www.healint.com
United States, California,San Mateo,Health Fidelity,Healthcare,Health Fidelity offers solutions for healthcare organizations participating in risk-based payment programs.,http://www.healthfidelity.com
United States, California,Cupertino,HEALTH[at]SCALE Technologies,Healthcare,Machine Intelligence for Care Prediction,http://www.healthatscale.com/
Germany,,Hameln,Healthcare X.0,Healthcare,,http://www.healthcare-xnull.com/
Sweden,,Stockholm,HealthiHabits,Healthcare,A digital people-to-people platform to discover healthy behaviors & sustainable behavior changes.,http://www.healthihabits.co
United States,New York,New York,HealthReveal,Healthcare,"HealthReveal is a healthcare technology company that anticipates and mitigates adverse medical events for individuals with chronic disease. HealthReveal partners with providers, payers, and employers to enable them to detect the onset of potentially life-threatening health issues and intervene before an adverse event occurs. The company offers a cloud-based, clinical analytics solution, harnessing the power of evidence-based medicine as a foundation for machine learning.",http://www.healthreveal.com
United States,Massachusetts,Cambridge,HealthRhythms,Core AI,"HealthRhythms makes it easy to measure and care for everyone's mental health. By seamlessly gathering data about everyday behaviors and routines, HealthRhythms provides a more comprehensive and clinically grounded understanding of mental wellbeing. The company's solution leverages deep machine learning and predictive analytics to create novel health assessments and just-in-time personalized interventions that improve the care delivery experience for patients, health plans, payers and research organizations.",http://www.healthrhythms.com
United States, Hawaii,Honolulu,"HealthTechApps, Inc.",Healthcare,We create neurotechnology platforms that help people tell their health story using short videos paired with artificial intelligence and ML.,http://healthtechapps.com/
United States, California,Santa Monica,HealthTensor,Healthcare,HealthTensor uses Artificial Intelligence to mine the medical record for pertinent information and automate physician documentation.,http://www.healthtensor.com/
Israel, Hefa,Haifa,Healthy Mize,Healthcare,HEALTHYMIZE provides personalized speech monitoring based on analysis of patients' voice and breathing during regular voice calls.,http://healthymize.com
United Kingdom,England,Cambridge,Healx,Core AI,"Healx is passionate about identifying next-generation drug development opportunities for rare diseases. In order to achieve this goal, Healx combines in-depth drug repositioning expertise with a cloud-based data analytics platform that combines -omics analysis with data mining and machine learning. The analysis and interpretation of R&D related data sets helps to identify novel drug development opportunities for rare disease patients.",http://www.healx.io
Israel,,Tel Aviv,HEAT Intelligence,Software Development,"Heat provides cognitive services in real time by a hybrid cloud of humans and AI. Use cases range from data gathering, to text classification, to image editing and more. Heat makes AI accessible and usable by any business in the world.",http://www.heatintelligence.com
Israel,,,HedgeWiz,Fintech,"HedgeWiz provides financial stability to global businesses by providing a platform for currency risk management, ensuring that organizations are aware of and neutralize their foreign exchange exposures. The company partners with financial business leaders to help them grow without foreign currency disruption.",https://www.hedgewiz.co.uk
France,,Paris,Heek,Communication,Chatbot AI that helps you build a website easily,http://www.heek.com
Germany,,Berlin,Heili,Software Development,,http://www.heilihq.com
Israel,,,heili,Business Intelligence,"Heili is a self-learning, AI-driven cloud infrastructure management solution. It ensures that the back-end stack of your favorite application is always online.",https://www.heilihq.com
Brazil, Minas Gerais,Belo Horizonte,Hekima,Core AI,Hekima develops and applies cognitive computing technologies with the aim of helping companies processing and understanding big data.,http://hekima.com/en/
Australia, Victoria,Melbourne,Heliex,Business Intelligence,"A cloud-based retail ecosystem using AI, machine learning & deep learning to prescribe the best course of action to optimize outcomes",http://heliex.io/
United States, New York,New York,"HelloAva, Inc",Healthcare,"Ava is a personal skincare consultant, powered by AI, deep learning and expert real dermatologists.",http://helloava.co/
United States, California,San Francisco,Helplama,Communication,Helplama is an uber for 24*7 live support that offers support for niche categories with help of expert AI and category expert humans.,https://helplama.com/
China,,Guangzhou,Henghaodata,Software Development,"Established in 2015, Guangzhou Henghao Data Technology Co., Ltd. (abbreviated as Henghao Data) is engaged in innovative research of big data and artificial intelligence (AI) and is committed to combining the technologies of big data and artificial intelligence with the application of the industry to provide society with high quality Products and professional solutions.",http://www.henghaodata.com
China,,Shijingshan District,Hengtbj,Automation,,http://www.hengtbj.com/
Finland,,,Herculex.ai,Legal,"Herculex.ai is a legal technology company that provides artificial intelligence solutions for early stage companies, entrepreneurs, and consumers in the U.S. First products will be launched in January 2018.",www.herculex.ai
Finland,,Kajaani,Herman IT,Core AI,Provide Colocation and IT Services with advanced Software Solution services for IoT industry and carrier neutral connectivity services, http://www.hermanit.fi/
Israel,,,Hermetic,Fintech,"Our identity, privacy, and digital currency depends increasingly on the ability to protect private keys against theft or loss. Hermetic.io's platform provides strong protection of private keys on mobile devices without relying on special hardware or complex passwords. Our mobile SDK allows application developers to easily implement strong passwordless authentication, end-to-end encryption, and signed transactions, making private key security and backups seamless to users. The service allows users who lost their device to securely migrate to a new device and resume working in few simple steps, while keeping the user’s identity, monetary value, and privacy intact. Our technology is based on novel multi-party cryptographic protocols, which guarantee resistance to key theft via server hacking, device probing and man-in-the-middle attacks, combined.",http://hermetic.io
United States,Washington,Seattle,Heroic.ly,,"Heroic.lys machine learning helps marketers maximize the performance of their marketing budget.   Our platform processes historical purchase data along with real-time consumer engagements in real time to reduce conversion acquisition costs by 10-20%.  Our platform does 3 things for our clients:   Identifies In-Market Consumers:  Machine Learning recognizes patterns of purchase intent across thousands of signals from across the web (desktop, mobile, tablet)  Values Impressions with Each Consumer Dynamically: Predictive bid pricing minimizes campaign overspending by dynamically valuing impressions with each individual across all advertising opportunities.  Activates Next Best Investment: Calculates a holistic digital media plan to capture the highest ROI and activates impressions at the most efficient CPM across all inventory sources.  The solution takes less than 10 minutes to set up and is delivered in a scalable pricing model based on number of website visitors.",http://www.heroic.ly
Japan,,Tokyo,Heroz Japan,Entertainment,,https://heroz.co.jp/
United Kingdom,,London,Hertzian,Text Analytics,,http://www.hertzian.co.uk
China,,Jiading District,Hesaitech,Automation,,http://www.hesaitech.com/
France,,Paris,Heuritech,E-Commerce,"Heuritech develops a deep learning powered automatic real-time recognition solution of objects, shapes, textures, people from within any image or photo posted on social media and the internet. The tool is used in the world of luxury and fashion as a means to detect clothing trends for designing collections and managing purchases/restocking, optimizing recommendations and merchandising on e-commerce platforms, and for qualitative and quantitative client segmentation, etc.",http://www.heuritech.com
Germany,,Berlin,Heuro Labs,Core AI,Heuro Labs develops cognitive computing and data mining solutions to mine and fuse data from the real world powered by innovative proprietary AI and deep learning.,http://www.heurolabs.com
Germany,,Berlin,Heurolabs,Data Analytics,,http://www.heurolabs.com/
South Africa, NA - South Africa,Cape Town,Hey Jude,Communication,Hey Jude is a mobile assistant app backed up by humans and assisted by AI., http://heyjudeapp.com
Mexico, Puebla,Puebla De Zaragoza,HeyBOB,Communication,Your online personal assistant,http://www.heybob.mx
China,,Haidian District,Heyha,Computer Vision,,http://www.heyha.com/
United States,New York,New York,HeyMojo,Communication,HeyMojo offers artificial intelligence-based chatbots to connect hotels and restaurants with their guests.,http://www.heymojo.com
Brazil, Sao Paulo, Sao Paulo,Hi Platform,Sales/Marketing,Hi Platform is a service platform that enables companies to build better relationships with their customers,http://www.hiplatform.com/
Taiwan, T'ai-pei,Taipei,HIGH5,Communication,HIGH5 is building a platform that allows anyone to build smart chatbots without any development experience,https://www.high5.ai
United States,Texas,Houston,HighRadius,Business Intelligence,"HighRadius applies artificial intelligence and machine learning to all aspects of accounts receivable operations, including credit, collections, cash application, deductions and payments.",http://www.highradius.com
United States,California,San Jose,hiku labs,Computer Vision,"Hiku is an early-stage start-up that has developed an app for the iPhone and Android phones that lets users easily create shopping lists-by voice command and by using a simple scanning device. The scanner (which snaps to a refrigerator for easy access) recognizes barcodes, making it simple to wave it over any item and have it instantly added to a shopping list. Hiku is in the development stage of enabling online shopping with a wave of the device.",http://www.hiku.us
United States, Nevada,Las Vegas,Hily,Communication,Hily is a free dating app that uses AI and identification to improve safety and potential matches.,https://hily.com/
United States, New Jersey,Englewood,"Hindsait, Inc.",Healthcare,Artificial Intelligence for Better Healthcare,http://www.hindsait.com
United States, California,San Francisco,HintBox.ai,Fintech,Applying Artificial Intelligence to Behavioral Science for your Personal finances,https://hintbox.ai/
Malta,,,Hippo Data,Text Analytics,Hippo Data uses machine learning and artificial intelligence to quickly analyze large amounts of data and predict what will happen in the future.,http://www.hippodata.co
United States, Texas,Dallas,HipPocket,Fintech,Reducing property search and sale time by using machine learning and AI to match home buyers to more relevant homes faster,http://www.hippocket.net/
United States,California,San Francisco,hiQ Labs,Human Resources,"hiQ Labs, founded in 2013, is the Global Standard for People Analytics. hiQ Labs is fundamentally changing the enterprise workforce by using predictive analytics to make sophisticated employee decisions. hiQ Labs' elite data teams apply data-driven science to the evolution and development of your workforce and individual employees work lives.",http://www.hiqlabs.com
United States, California,San Jose,Hiretual,Human Resources,"Hiretual is a sourcerâ€™s best friend. Technology built by recruiters for recruiters, assisting in boolean building, contact finding and more.",https://hiretual.com/
United States, Arizona,Chandler,HiringSolved,Human Resources,HiringSolved makes hiring faster and easier through smart software tools. Automating inbound and outbound recruiting with AI based tech.,https://hiringsolved.com/
China,,Pudong New Area,HiScene,Core AI,,http://www.hiscene.com
China,,Fengtai District,Hisign,Computer Vision,,http://www.hisign.com.cn
Japan,,Tokyo,hitTO,Communication,,https://hitto.jp/
United States,Massachusetts,Kendall,HiveFire,Communication,"HiveFire is in the online news and blog space engaged in technology involving machine learning, natural language processing, information retrieval and human computer interaction.",http://www.hivefire.com
Thailand, Krung Thep,Bangkok Noi,HiveGround,Robotics,HiveGround are experienced in robotics and automation system.,https://www.hiveground.com
Australia, New South Wales,Sydney,HIVERY,E-Commerce,Data Has A Better Idea. At HIVERY we build prescriptive analytics tools to solve individual business problems in ways that humans cannot.,https://www.hivery.com/
China,,Shenzhen,Hizkon,Entertainment,,http://www.hizkon.cn
India, Punjab,Mohali,Hocrox,Core AI,AVNI (#Artificial #Virtual #Neuro #Intelligence): Think and get your work done. Think and other person will understand what you want to say.,hocrox.com/
Japan,,Tokyo,Holoeyes,Healthcare,,http://holoeyes.jp/
Italy,,Taranto,Holsys,Text Analytics,"Holsys has developed olOne, an artificial intelligence software able to interpret the real-time data streams coming from sensors, allowing applications such as predictive maintenance. The user teaches olOne to recognize events of interest. Human sentences on sensors data are locally processed in real-time, using an algorithm with in-memory analytics and artificial intelligence features, transforming data into actionable information.",http://www.olone.tech
United States,Colorado,Denver,Homebot,Real Estate,"Homebot is an AI powered financial dashboard and planner for Homeowners. It helps homeowners build wealth by optimizing debt, home improvement, and rental potential.",http://www.homebot.ai
China,,Haidian District,Honganrobots,Entertainment,,http://www.honganrobots.com
China,,Wuhan,Hongshi-tech,Computer Vision,,http://www.hongshi-tech.com
France,,Lyon,Hoomano,Robotics,,http://hoomano.com/
China,,Chengdu,Hopperclouds,Human Resources,Rely on Artificial Intelligence Technology to Renovate Human Resources Industry Efficiency,http://www.hopperclouds.com
China,,Beijing,Horizon Robotics,Communication,"Horizon Robotics (åœ°å¹³çº¿æœºå™¨äºº), founded in 2015, has built up a full-functional team integrating software and hardware capabilities. The company envisions every device to become an intelligent entity that has the ability from perception, interaction, and understanding to decision-making.",http://www.horizon-robotics.com
China,,Zhuhai,Hotdoor,Entertainment,,http://www.hotdoor.cn
United States,California,San Francisco,Hover Inc.,Computer Vision,"Hover is dedicated to bringing advanced 3D computer vision technology to the marketplace, with a focus on crowdsourced imagery. By streamlining locations and opportunities and replacing superfluous clicks and page changes with a seamless, singular and living user interface, Hover delivers an intuitive browsing experience.",http://www.hoverinc.com
United States,Texas,Austin,Howdy,Communication,"XOXCO is the developer of Howdy, a bot for team-communication app Slack that can run virtual meetings.",http://www.howdy.ai
Japan,,Tokyo,HowMa,Real Estate,,https://www.how-ma.com/
United Kingdom,,London,Hoxton Analytics,Computer Vision,,https://www.hoxtonanalytics.com
Japan,,Tokyo,HRMos,Human Resources,,https://hrmos.co/
Spain,,Barcelona,Hu:toma,Robotics,"Hu:toma helps companies reduce staffing costs by deploying artificially intelligent programs that act and behave like their human counterparts but are significantly cheaper and infinitely scalable. Hu:toma utilizes a proprietary deep learning technology to autonomously ingest company information (product info, support chat logs, etc.) and create a custom made conversational AI that can have meaningful conversations with end user via text or voice.",http://www.hutoma.co
China,,Changning District,HuaAT,Sales/Marketing,,http://www.huaat.com
China,,Nankai District,Hualaikeji,Computer Vision,,http://www.hualaikeji.com
China,,Hangzhou,Huaraytech,Automation,,http://www.huaraytech.com
China,,Shenzhen,Huawei,,,http://consumer.huawei.com/cn/
China,,Jinan,Hubcloud,Sales/Marketing,,http://www.hubcloud.com.cn
France,,Toulouse,Hubdata,Business Intelligence,"Hubdata offers decision analytics SaaS solutions, by using machine learning based advanced analytics to drive business outcomes, such as customer loyalty, yield management, repeat revenue, and profitability for international clients.",http://www.hubdata.fr
India,,Pune,Hugefly Technologies,E-Commerce,Hugefly is a machine learning startup that provides online search and recommendation services for e-commerce firms.,http://www.hugefly.com
United States, New York,New York,Hugging Face,Communication,Hugging Face develops an artificial intelligent friend.,http://www.huggingface.co
China,,Chaoyang District,Huitingtech,Communication,,http://www.huitingtech.com/
China, Beijing,Beijing,Huiyi Hui Ying,Healthcare,Huiyi Hui Ying is an international cloud computing & AI tech that has created a digital medical imaging and tumor radiotherapy platform.,http://www.huiyihuiying.com/
United States, California,Palo Alto,Huma.ai,Communication,Huma sits at the intersection between artificial intelligence and product design. ,https://www.huma.ai
United Kingdom,England,London,Human,Core AI,"Human, fka City Sail, uses machine learning to interpret subliminal facial expressions through video profiles to provide character and personality mapping, for applications in the fields of human resources, financial fraud detection, and customer profiling.",http://www.wearehuman.io
United States,New York,New York,Human Condition Safety,Entertainment,"Human Condition Safety aims to change the construction industry through wearable safety tech, artificial intelligence and BIM.",http://www.hcsafety.com
China, Beijing,Beijing,Humanplus,Computer Vision,"Computer vision, artificial intelligence, system level stereo depth perception solution",http://www.humanplus.ai/
United States, Florida,Miami Beach,Humantelligence,Human Resources,Humantelligence is the leading cloud-based culture analytics and recruiting platform that leverages break-through Artiï¬,http://humantelligence.com/
Australia, Oceania,Australia,Hummingbird AI PTY Ltd.,Communication,Artificial Intelligence,https://www.hummingbird.ai/
United States,California,San Francisco,Humtap,Entertainment,Humtap is a media technology startup which produces and licenses original music using AI.,http://www.humtap.com
Australia, New South Wales,Sydney,Hyper Anna,Data Analytics,Hyper Anna is an AI powered data anlyst - Siri for analytics.,http://www.hyperanna.com
United States, New York,New York,Hyperfine,Healthcare,Advanced Analytics For Precision Medicine,http://www.hyperfineglobal.com/
United States, New York,New York,HyperScience,Automation,HyperScience is an artificial intelligence company that provides machine learning software to companies to perform menial tasks.,http://www.hyperscience.com
United States,California,Palo Alto,HyperVerge,Computer Vision,"HyperVerge has developed patent-pending technology for organization of images by identification of people, places, scenes and events in images. Silver, the first smartphone application developed by the company helps users automatically organize their photos, eliminate poor quality photos and duplicates, and share their best photos. Optimized self-learning algorithms produce results that are real-time and highly accurate to ensure users find the photo(s) they are looking for within just a few seconds.",http://www.hyperverge.co
France,,Paris,Hyphen,Communication,,https://hyphen.ai/#/
Israel,,,Hyver,Defense/Security,,https://hyver-security.com/web.html
China,,Hangzhou,Hzstyl,Robotics,,http://www.hzstyl.com
Israel,,Tel Aviv,I Know First,Fintech,,https://iknowfirst.com
United States, California,Los Angeles,i.am+,Entertainment,i.am+ designs and manufactures wearable products.,http://iamplus.com/
Germany,,Berlin,i2x,Communication,Conversation training and analysis. Have smarter conversations through instant feedback.,https://i2x.ai/
Israel,,HaMerkaz,i4drive,Transportation,,https://www.i4drive.com
United States,California,Burlingame,IamBot,Communication,"IamBot is an AI company that creates image recognition bots that simplify the product search process. Its Facebook Messenger bot, ""SnapShop Bot,"" creates a marketplace for various fashion brands and allows customers to shop by submitting a photo.",http://www.iambot.chat
United States, New York,Armonk,IBM Watson,Core AI,IBM Watson is a cognitive system enabling a new partnership between people and computers.,https://www.ibm.com/watson/
China, Guangdong,Shenzhen,iCarbonX,Healthcare,iCarbonX is a China-based artificial intelligence platform for health data company.,http://www.icarbonx.com
United States,Washington,Bellevue,Icertis,Business Intelligence,Icertis is a provider of enterprise contract management in the cloud. The Icertis Contract Management (ICM) platform is an easy-to-use solution that is highly configurable and continually adapts to complex business needs.,http://www.icertis.com
Australia,Western Australia,Subiaco,iCetana,Computer Vision,"iCetana's software meshes machine learning, computer vision and pattern recognition adaptive algorithms together to identify notable 'events' or activity captured on a security camera.",http://www.icetana.com
China,,Chengdu,Iclassedu,Education,"Sighting intelligent evaluation robot, K12 education subjective questions automatically modify the robot.",http://www.iclassedu.com/
China,,Changning District,ICloudWave,Software Development,,http://www.icloudwave.com/
United States,Delaware,Dover,ICM Hub,Communication,"ICM Hub is an AI-based solution to help passenger transport companies, which typically have trouble keeping up with increasing, frequent customer inquiries. ICM Hub provides automated AI-powered customer correspondence, so that the service personnel can focus on the difficult customer interactions and increase customer loyalty.",http://www.icmhub.com
China,,Chaoyang District,Ideahos,Entertainment,,http://www.ideahos.com/
Canada,Ontario,Toronto,Ideal,Communication,"Ideal is an intelligent virtual assistant for recruiters. Ideal's artificial intelligence automates time-consuming, repetitive tasks including candidate sourcing, resume screening, shortlisting and candidate outreach. Ideal eliminates human bias, improves quality of hire, enhances the candidate experience and increases recruiter efficiency.",http://www.ideal.com
United States,North Carolina,Asheville,Ideal Medical Technologies,Healthcare,Ideal Medical Technologies is a company that aims to improve healthcare through technological innovation. The company's initial project will be the creation of an artificial pancreas for use in the hospital setting. This device will utilize an artificial intelligence based glucose controller to provide optimal glucose control for both diabetic patients and ICU patients.,http://www.idealmedtech.com
China,,Haidian District,ideepmind,Robotics,,http://www.ideepmind.com
China,,Xuhui District,Idemac,Automation,,http://www.idemac.com.cn/
United States,Massachusetts,Belmont,Identidata,Computer Vision,Identidata provides a service to help companies verify a person's identity through face recognition.,https://identidata.io
China,,Pudong New Area,Iding,Transportation,,http://www.idinginfo.com/
United Kingdom,England,London,idio,Business Intelligence,"Idio exists to power the perfect customer conversation, driving better intelligence and more revenue for global enterprises, including BlackRock, Fitch Group, and Intel. ",http://www.idioplatform.com
China,,Shenzhen,Idiway,Computer Vision,,http://www.idiway.com/
France,,Bordeaux,IDMOG ,Business Intelligence,FieldBox.ai helps industries dramatically improve operational efficiency by deploying artificial intelligence in the heart of factories.,http://www.idmog.com/
Israel,,,Idomoo,Sales/Marketing,Idomoo helps brands deliver on the promise of customer personalization – moving each customer emotionally and practically by addressing them individually with a personalized video uniquely tailored to their needs. ,www.idomoo.com
China,,Haidian District,idriveplus,Transportation,,http://www.idriverplus.com
China,,Hefei,iFLYTEK,Communication,,http://www.iflytek.com/
Israel,,Tel Aviv,iguazio,Defense/Security,,https://www.iguazio.com
India, Maharashtra,Mumbai,iKen Solutions Pvt. Ltd.,Core AI,iKen Solutions is a software product company specializing in consumer analytics products with Mooga as its flagship product.,http://www.ikensolutions.com
France,,Paris,IKO System,Sales/Marketing,"IKO System develops solutions that allow users to identify companies which have the higher propensity to convert to customers, prioritize sales actions with a reachability score on decision-makers, multiply communications with decision-makers by automating sales engagement, and evaluate prospects' interest through algorithmic analysis of sales interactions. IKO System's predictive algorithms and machine learning technologies allow sales forces to multiply their capacity to engage with thousands of targeted prospects while improving their conversion rate. These predictive technologies are based on millions of interactions between sales forces and decision-makers to anticipate the behavior of buyers and the best way to optimize the sales relationship.",http://www.iko-system.com
Switzerland,,Geneva,Illuminoo,Data Analytics,,https://illuminoo.com/
United Kingdom,,London,Illumr,Data Analytics,,http://illumr.com/
China,,Wuhan,ImageQ,Data Analytics,,http://www.imageq.cn/
Canada, Quebec,Montreal,Imagia,Healthcare,Artificial Intelligence for medical image analysis.,http://www.imagia.com
Sweden,,Stockholm,Imagimob,Internet of Things,"Imagimob specializes in sensor technology, artificial intelligence and advanced positioning technology. SensorBeat is a motion intelligence system. The system enables things to understand their motion - Whether it's a wristband listening to how people move, a heat pump that monitors itself, or a power tool making sure it's used correctly.",http://www.imagimob.com
Israel,,Tel Aviv,Imagry,Computer Vision,"Imagry is a mobile image recognition platform that ""enables users to search through images that are hyperlinked to the vendors' online portals.""",http://www.imagry.co
Israel,,Tel Aviv,Imagu Vision Technologies,Computer Vision,"Imagu Vision Technologies, a privately-held Israeli image understanding and artificial intelligence company, is dedicated to addressing the challenge of object recognition in its different worlds of content. Founded in 2005, Tel Aviv-based Imagu has developed cutting-edge image understanding technologies applied to various industries, such as healthcare, medical imaging, semiconductors, homeland security, and e-commerce. Imagu's technology enables object recognition in multiple domains by combining knowledge from different worlds of content to solve complex object detection challenges.",http://www.imagutech.com
Spain,,Barcelona,iMath Research,Data Analytics,,http://www.imathresearch.com
Israel,,,IMBlox,Communication,"IMBlox's chat bots integrate onto any platform to quickly qualify, profile and activate leads. Integrating Digital Ads, Marketing Automation, and CRM into ""Conversational Marketing"".",https://imblox.com/
China,,Beijing,IMG,Computer Vision,"IMG provides services based on (AR) technology for e-commerce customers in the apparel industry, enabling customers to virtually try on products before they buy. It holds patents for a range of innovations, including facial, spatial, image, movement, and gesture recognition, as well as machine learning and artificial intelligence.",http://www.imgnb.com
China,,Chaoyang District,IMIO,Software Development,"Using the passion for combining life with AI technology, we have created a reliable, elegant, friendly and easy-to-access IMIO AI platform",http://www.imio.io/
United States,California,Los Altos,Immediate Insight,Data Analytics,"Immediate Insight offers an easier way of getting answers from data to improve security and streamline operations. The company's system merges machine learning, correlation, and natural language in a simple workflow-centric user interface to find relationships in the data that users don't even know to look for.",http://www.immediateinsight.com
United States,New York,New York,Immersive Labs,Software Development,"Immersive Labs has developed software for digital billboards that can measure the age range, gender, and attention-level of a passerby and quantify the effectiveness of an outdoor marketing campaign. CARA is a computer vision platform that enables users to gather analytics data from the real world, deliver targeted content to audiences, analyze the effectiveness of media and create interactive experiences.",http://www.immersivelabs.com
France,,,Immersive Robotics ,Robotics,,http://immersive-robotics.com/
United States, Maryland,College Park,Immuta,Defense/Security,Immuta is a unified data platform for the worldâ€™s most secure organizations.,https://www.immuta.com/
United States, Washington,Seattle,Imperative,Human Resources,The first HR talent platform leveraging AI and big data to drive meaningful work,http://imperative.com/
Israel,,,imperson,Sales/Marketing,,http://imperson.com
United Kingdom,,,Import.Io,Business Intelligence,,
China,,Chaoyang District,IMPOWER,Computer Vision,,http://www.impower-tech.com
Singapore,,Singapore,impress.ai,Human Resources,"impress.ai, fka Ideatory, is a candidate shortlisting platform to help enterprise recruiters to autonomously interview and identify the best candidates for a job using a proprietary AI and machine learning stack trained on 40,000 candidate profiles.",http://www.impress.ai
China,,Shenzhen,Imsight Medical Technology,Healthcare,Imsight Medical (è§†è§,http://www.imsightmed.com/
United States,California,Palo Alto,Imubit,Manufacturing,Machine Learning for Manufacturing Process Optimization ,http://www.imubit.com/
Israel,,Ramat Gan,Imvision,Defense/Security,,https://www.imvisiontech.com
France,,Paris,Inato,Healthcare,Inato helps life science companies accelerate recruitment in their clinical trials by making data-informed decisions.,https://inato.com/
United States, California,San Mateo,Inbenta,E-Commerce,"Inbenta is a leader in Natural Language Processing and Artificial Intelligence for customer support, e-commerce and conversational chatbots.",http://www.inbenta.com
Germany,,Berlin,Inbot,Sales/Marketing,Inbot helps B2B companies find customers and get warm introductions to them from trusted connections., www.inbot.io
Israel,,,inboundli,Sales/Marketing,,https://inbound.li
China,,Shenzhen,Inbs,Fintech,,http://www.inbs.cn/
Czech Republic,,Prague,Incomaker,Sales/Marketing,,https://www.incomaker.com/
United States,California,Palo Alto,indeni,Automation,"indeni develop solutions that help build smarter networks through machine learning and predictive analysis technology, empowering enterprises to focus on growth acceleration and eliminate network failures. ",http://www.indeni.com
United States,Massachusetts,Boston,Indico Data Solutions,Core AI,Indico lets developers integrate machine learning algorithms into their applications with a single line of code.,http://www.indico.io
United States,Massachusetts,Charlestown,Indigo Agriculture,Agriculture,"Indigo, previously known as Symbiota, is developing microbial solutions to naturally promote plant health and improve agricultural production by harnessing the beneficial microbes that reside within plants.",http://www.indigoag.com
